2016-Mar-04 17:06:19 INFO  Server:31 - Binding to port 3000, please wait...
@2016-Mar-04 17:06:19 INFO  Server:43 - Game has started
@2016-Mar-04 17:06:19 INFO  Server:46 - New ServerThread created
@2016-Mar-04 17:06:19 INFO  Server:55 - Waiting for Clients
@2016-Mar-04 17:06:33 INFO  Client:46 - 0:Establishing connection. Please wait... 
@2016-Mar-04 17:06:33 INFO  Client:53 - 50020: Connected to server: localhost/127.0.0.1
@2016-Mar-04 17:06:33 INFO  Server:65 - Client accepted: Socket[addr=/127.0.0.1,port=50020,localport=3000]
@2016-Mar-04 17:06:33 INFO  Client:54 - 50020: Connected to portid: 50020
@2016-Mar-04 17:06:33 INFO  Client:71 - Initializing buffers
@2016-Mar-04 17:06:33 INFO  Server:55 - Waiting for Clients
@2016-Mar-04 17:06:33 INFO  Client:77 - New ClientThread has started
@2016-Mar-04 17:06:33 INFO  ClientThread:48 - Client Thread 50020 running.
@2016-Mar-04 17:06:33 INFO  Client:128 - Message Received: start
@2016-Mar-04 17:06:33 INFO  Client:137 - Information sent to server: result
@2016-Mar-04 17:06:33 INFO  Client:57 - Client has started
@2016-Mar-04 17:06:33 INFO  ClientThread:51 - firstplayer
@2016-Mar-04 17:06:49 INFO  Server:84 - Message Received: null
@
